match_id,pts,palpite,real,source,code
1,7.0000,2x0,2x0,asof,16d112f3
2,0.0000,1x2,2x1,asof,16d112f3
3,0.0000,2x0,1x1,asof,16d112f3
4,5.0000,2x1,4x1,asof,16d112f3
5,4.0000,1x1,2x0,archive,16d112f3
6,0.0000,0x0,1x1,archive,16d112f3
7,5.0000,0x2,0x1,archive,16d112f3
8,0.0000,0x3,1x1,archive,16d112f3
9,1.0000,4x0,7x1,archive,16d112f3
10,0.0000,0x0,1x0,archive,16d112f3
11,0.0000,2x1,2x2,archive,16d112f3
12,4.0000,2x1,5x1,archive,16d112f3
13,0.0000,2x0,1x1,archive,16d112f3
14,0.0000,2x0,2x2,archive,16d112f3
15,0.0000,0x1,1x1,archive,16d112f3
16,0.0000,2x0,0x0,archive,16d112f3
17,4.0000,2x0,3x0,archive,16d112f3
18,5.0000,2x0,3x1,archive,16d112f3
19,3.0000,2x0,3x1,archive,16d112f3
20,2.0000,0x2,1x4,archive,16d112f3
21,3.0000,2x1,4x2,archive,16d112f3
22,0.0000,0x0,1x0,archive,16d112f3
23,0.0000,2x0,1x1,archive,16d112f3
24,3.0000,0x2,1x3,archive,16d112f3
25,3.0000,3x0,6x0,asof,16d112f3
26,0.0000,2x1,1x1,asof,16d112f3
27,5.0000,2x1,1x0,asof,16d112f3
28,2.0000,2x0,4x1,asof,16d112f3
29,7.0000,3x0,3x0,asof,16d112f3
30,8.0000,0x1,0x1,asof,16d112f3
31,0.0000,2x1,0x1,archive,16d112f3
32,6.0000,2x1,2x0,asof,16d112f3
33,0.0000,2x0,0x0,archive,16d112f3
34,5.0000,2x0,2x1,archive,16d112f3
35,2.0000,2x0,5x1,asof,16d112f3
36,3.0000,0x2,0x4,archive,16d112f3
37,0.0000,2x1,0x0,archive,16d112f3
38,3.0000,0x2,1x3,archive,16d112f3
39,3.0000,2x0,4x0,archive,16d112f3
40,0.0000,0x0,2x2,archive,16d112f3
41,3.0000,2x0,2x0,archive,16d112f3
42,7.0000,3x0,3x0,archive,16d112f3
43,8.0000,1x2,1x2,archive,16d112f3
44,5.0000,2x1,3x2,archive,16d112f3
45,8.0000,1x0,1x0,archive,16d112f3
46,0.0000,2x0,0x0,archive,16d112f3
47,3.0000,0x2,0x1,archive,16d112f3
48,3.0000,2x0,5x0,archive,16d112f3
49,3.0000,2x1,3x1,archive,16d112f3
50,9.0000,2x1,2x1,archive,16d112f3
51,4.0000,0x2,0x3,archive,16d112f3
52,4.0000,2x0,4x2,archive,16d112f3
53,3.0000,0x2,0x3,archive,16d112f3
54,0.0000,0x1,1x0,archive,16d112f3
55,7.0000,0x2,0x2,archive,16d112f3
56,0.0000,0x1,2x1,archive,16d112f3
57,0.0000,2x1,1x1,archive,16d112f3
58,9.0000,0x0,0x0,archive,16d112f3
59,4.0000,0x2,1x3,archive,16d112f3
60,0.0000,1x2,3x2,archive,16d112f3
61,0.0000,0x1,0x0,archive,16d112f3
62,6.0000,0x0,1x1,archive,16d112f3
63,2.0000,0x3,1x5,archive,16d112f3
64,4.0000,1x2,1x4,archive,16d112f3
65,3.0000,2x0,5x0,archive,16d112f3
66,4.0000,0x1,0x1,archive,16d112f3
67,6.0000,1x1,3x3,archive,16d112f3
68,0.0000,1x2,0x0,archive,16d112f3
69,6.0000,2x0,2x1,archive,16d112f3
70,3.0000,1x0,3x1,archive,16d112f3
71,4.0000,0x3,1x3,archive,16d112f3
72,7.0000,0x2,0x2,archive,16d112f3
73,0.0000,0x0,0x1,asof,16d112f3
74,6.0000,2x0,1x1,asof,16d112f3
75,26.0000,1x1,1x1,asof,16d112f3
76,18.0000,2x1,2x1,asof,16d112f3
77,6.0000,2x0,3x0,asof,16d112f3
78,18.0000,1x2,1x2,asof,16d112f3
79,10.0000,1x0,2x0,asof,16d112f3
80,8.0000,1x0,2x1,asof,16d112f3
81,10.0000,2x1,2x0,asof,16d112f3
82,0.0000,2x1,2x2,asof,16d112f3
83,16.0000,2x1,2x1,asof,16d112f3
84,6.0000,2x0,3x0,asof,16d112f3
85,12.0000,2x1,2x0,asof,16d112f3
86,4.0000,2x0,3x2,asof,16d112f3
87,6.0000,2x0,1x0,asof,16d112f3
88,26.0000,0x0,1x1,asof,16d112f3
89,8.0000,0x1,0x3,asof,16d112f3
90,14.0000,0x1,0x1,asof,16d112f3
91,0.0000,2x1,0x2,archive,16d112f3
92,12.0000,0x1,2x3,archive,16d112f3
93,10.0000,1x2,0x1,archive,16d112f3
94,0.0000,2x1,1x4,archive,16d112f3
95,4.0000,2x0,3x2,archive,16d112f3
96,6.0000,1x2,0x0,archive,16d112f3
97,12.0000,0x1,0x2,archive,16d112f3
98,16.0000,2x1,2x1,archive,16d112f3
99,0.0000,1x2,1x1,archive,16d112f3
100,0.0000,2x1,1x1,archive,16d112f3
101,0.0000,1x1,0x2,archive,16d112f3
102,0.0000,1x1,1x2,archive,16d112f3
