match_id,stage,group,date,home,away,neutral,third_groups,home_goals,away_goals,ko_outcome
1,group,A,2026-06-11,Mexico,South Africa,False,,2,0,
2,group,A,2026-06-11,South Korea,Czech Republic,True,,2,1,
3,group,B,2026-06-12,Canada,Bosnia and Herzegovina,False,,1,1,
4,group,D,2026-06-12,United States,Paraguay,False,,4,1,
5,group,D,2026-06-13,Australia,Turkey,True,,2,0,
6,group,C,2026-06-13,Brazil,Morocco,True,,1,1,
7,group,C,2026-06-13,Haiti,Scotland,True,,0,1,
8,group,B,2026-06-13,Qatar,Switzerland,True,,1,1,
9,group,E,2026-06-14,Germany,Curaçao,True,,7,1,
10,group,E,2026-06-14,Ivory Coast,Ecuador,True,,1,0,
11,group,F,2026-06-14,Netherlands,Japan,True,,2,2,
12,group,F,2026-06-14,Sweden,Tunisia,True,,5,1,
13,group,G,2026-06-15,Belgium,Egypt,True,,,,
14,group,G,2026-06-15,Iran,New Zealand,True,,,,
15,group,H,2026-06-15,Saudi Arabia,Uruguay,True,,,,
16,group,H,2026-06-15,Spain,Cape Verde,True,,,,
17,group,J,2026-06-16,Argentina,Algeria,True,,,,
18,group,J,2026-06-16,Austria,Jordan,True,,,,
19,group,I,2026-06-16,France,Senegal,True,,,,
20,group,I,2026-06-16,Iraq,Norway,True,,,,
21,group,L,2026-06-17,England,Croatia,True,,,,
22,group,L,2026-06-17,Ghana,Panama,True,,,,
23,group,K,2026-06-17,Portugal,DR Congo,True,,,,
24,group,K,2026-06-17,Uzbekistan,Colombia,True,,,,
25,group,B,2026-06-18,Canada,Qatar,False,,,,
26,group,A,2026-06-18,Czech Republic,South Africa,True,,,,
27,group,A,2026-06-18,Mexico,South Korea,False,,,,
28,group,B,2026-06-18,Switzerland,Bosnia and Herzegovina,True,,,,
29,group,C,2026-06-19,Brazil,Haiti,True,,,,
30,group,C,2026-06-19,Scotland,Morocco,True,,,,
31,group,D,2026-06-19,Turkey,Paraguay,True,,,,
32,group,D,2026-06-19,United States,Australia,False,,,,
33,group,E,2026-06-20,Ecuador,Curaçao,True,,,,
34,group,E,2026-06-20,Germany,Ivory Coast,True,,,,
35,group,F,2026-06-20,Netherlands,Sweden,True,,,,
36,group,F,2026-06-20,Tunisia,Japan,True,,,,
37,group,G,2026-06-21,Belgium,Iran,True,,,,
38,group,G,2026-06-21,New Zealand,Egypt,True,,,,
39,group,H,2026-06-21,Spain,Saudi Arabia,True,,,,
40,group,H,2026-06-21,Uruguay,Cape Verde,True,,,,
41,group,J,2026-06-22,Argentina,Austria,True,,,,
42,group,I,2026-06-22,France,Iraq,True,,,,
43,group,J,2026-06-22,Jordan,Algeria,True,,,,
44,group,I,2026-06-22,Norway,Senegal,True,,,,
45,group,K,2026-06-23,Colombia,DR Congo,True,,,,
46,group,L,2026-06-23,England,Ghana,True,,,,
47,group,L,2026-06-23,Panama,Croatia,True,,,,
48,group,K,2026-06-23,Portugal,Uzbekistan,True,,,,
49,group,B,2026-06-24,Bosnia and Herzegovina,Qatar,True,,,,
50,group,B,2026-06-24,Switzerland,Canada,False,,,,
51,group,A,2026-06-24,Czech Republic,Mexico,False,,,,
52,group,C,2026-06-24,Morocco,Haiti,True,,,,
53,group,C,2026-06-24,Scotland,Brazil,True,,,,
54,group,A,2026-06-24,South Africa,South Korea,True,,,,
55,group,E,2026-06-25,Curaçao,Ivory Coast,True,,,,
56,group,E,2026-06-25,Ecuador,Germany,True,,,,
57,group,F,2026-06-25,Japan,Sweden,True,,,,
58,group,D,2026-06-25,Paraguay,Australia,True,,,,
59,group,F,2026-06-25,Tunisia,Netherlands,True,,,,
60,group,D,2026-06-25,Turkey,United States,False,,,,
61,group,H,2026-06-26,Cape Verde,Saudi Arabia,True,,,,
62,group,G,2026-06-26,Egypt,Iran,True,,,,
63,group,G,2026-06-26,New Zealand,Belgium,True,,,,
64,group,I,2026-06-26,Norway,France,True,,,,
65,group,I,2026-06-26,Senegal,Iraq,True,,,,
66,group,H,2026-06-26,Uruguay,Spain,True,,,,
67,group,J,2026-06-27,Algeria,Austria,True,,,,
68,group,K,2026-06-27,Colombia,Portugal,True,,,,
69,group,L,2026-06-27,Croatia,Ghana,True,,,,
70,group,K,2026-06-27,DR Congo,Uzbekistan,True,,,,
71,group,J,2026-06-27,Jordan,Argentina,True,,,,
72,group,L,2026-06-27,Panama,England,True,,,,
73,R32,,2026-06-28,2A,2B,True,,,,
74,R32,,2026-06-29,1E,3rd,True,A|B|C|D|F,,,
75,R32,,2026-06-29,1F,2C,True,,,,
76,R32,,2026-06-29,1C,2F,True,,,,
77,R32,,2026-06-30,1I,3rd,True,C|D|F|G|H,,,
78,R32,,2026-06-30,2E,2I,True,,,,
79,R32,,2026-06-30,1A,3rd,True,C|E|F|H|I,,,
80,R32,,2026-07-01,1L,3rd,True,E|H|I|J|K,,,
81,R32,,2026-07-01,1D,3rd,True,B|E|F|I|J,,,
82,R32,,2026-07-01,1G,3rd,True,A|E|H|I|J,,,
83,R32,,2026-07-02,2K,2L,True,,,,
84,R32,,2026-07-02,1H,2J,True,,,,
85,R32,,2026-07-02,1B,3rd,True,E|F|G|I|J,,,
86,R32,,2026-07-03,1J,2H,True,,,,
87,R32,,2026-07-03,1K,3rd,True,D|E|I|J|L,,,
88,R32,,2026-07-03,2D,2G,True,,,,
89,R16,,2026-07-04,W73,W75,True,,,,
90,R16,,2026-07-04,W74,W77,True,,,,
91,R16,,2026-07-05,W76,W78,True,,,,
92,R16,,2026-07-05,W79,W80,True,,,,
93,R16,,2026-07-06,W83,W84,True,,,,
94,R16,,2026-07-06,W81,W82,True,,,,
95,R16,,2026-07-07,W86,W88,True,,,,
96,R16,,2026-07-07,W85,W87,True,,,,
97,QF,,2026-07-09,W89,W90,True,,,,
98,QF,,2026-07-10,W93,W94,True,,,,
99,QF,,2026-07-11,W91,W92,True,,,,
100,QF,,2026-07-11,W95,W96,True,,,,
101,SF,,2026-07-14,W97,W98,True,,,,
102,SF,,2026-07-15,W99,W100,True,,,,
103,3rd_place,,2026-07-18,L101,L102,True,,,,
104,final,,2026-07-19,W101,W102,True,,,,
