jogo,data,fase,grupo,mandante,palpite,visitante,P_mandante,P_empate,P_visitante,ousado,mais_provavel,prorrogacao,penaltis,avanca,status,placar_real
1,2026-06-11,group,A,México,2x0,África do Sul,72%,19%,9%,,2x0,,,,PREVISTO,
2,2026-06-11,group,A,Coreia do Sul,1x0,República Tcheca,50%,27%,23%,,1x1,,,,PREVISTO,
3,2026-06-12,group,B,Canadá,2x0,Bósnia e Herzegovina,74%,18%,8%,,2x0,,,,PREVISTO,
4,2026-06-12,group,D,Estados Unidos,0x1,Paraguai,31%,29%,40%,,1x1,,,,PREVISTO,
5,2026-06-13,group,D,Austrália,1x0,Turquia,50%,27%,23%,,1x0,,,,PREVISTO,
6,2026-06-13,group,C,Brasil,1x0,Marrocos,51%,31%,18%,,1x0,,,,PREVISTO,
7,2026-06-13,group,C,Haiti,1x2,Escócia,25%,26%,49%,,1x1,,,,PREVISTO,
8,2026-06-13,group,B,Catar,0x2,Suíça,15%,20%,65%,,0x2,,,,PREVISTO,
9,2026-06-14,group,E,Alemanha,3x0,Curaçao,83%,12%,5%,,2x0,,,,PREVISTO,
10,2026-06-14,group,E,Costa do Marfim,0x1,Equador,14%,30%,56%,,0x1,,,,PREVISTO,
11,2026-06-14,group,F,Holanda,1x2,Japão,29%,26%,45%,,1x1,,,,PREVISTO,
12,2026-06-14,group,F,Suécia,1x0,Tunísia,36%,30%,34%,,1x1,,,,PREVISTO,
13,2026-06-15,group,G,Bélgica,1x0,Egito,51%,28%,21%,,1x0,,,,PREVISTO,
14,2026-06-15,group,G,Irã,1x0,Nova Zelândia,53%,27%,20%,,1x0,,,,PREVISTO,
15,2026-06-15,group,H,Arábia Saudita,0x1,Uruguai,9%,24%,67%,,0x1,,,,PREVISTO,
16,2026-06-15,group,H,Espanha,2x0,Cabo Verde,82%,13%,5%,,2x0,,,,PREVISTO,
17,2026-06-16,group,J,Argentina,2x0,Argélia,78%,16%,6%,,2x0,,,,PREVISTO,
