jogo,data,fase,grupo,mandante,palpite,visitante,P_mandante,P_empate,P_visitante,ousado,mais_provavel,prorrogacao,penaltis,avanca,status,placar_real
1,2026-06-11,group,A,México,2x0,África do Sul,,,,,,,,,FINAL,2x0
2,2026-06-11,group,A,Coreia do Sul,2x1,República Tcheca,,,,,,,,,FINAL,2x1
3,2026-06-12,group,B,Canadá,1x1,Bósnia e Herzegovina,,,,,,,,,FINAL,1x1
4,2026-06-12,group,D,Estados Unidos,4x1,Paraguai,,,,,,,,,FINAL,4x1
5,2026-06-13,group,D,Austrália,2x0,Turquia,,,,,,,,,FINAL,2x0
6,2026-06-13,group,C,Brasil,1x1,Marrocos,,,,,,,,,FINAL,1x1
7,2026-06-13,group,C,Haiti,0x1,Escócia,,,,,,,,,FINAL,0x1
8,2026-06-13,group,B,Catar,1x1,Suíça,,,,,,,,,FINAL,1x1
9,2026-06-14,group,E,Alemanha,7x1,Curaçao,,,,,,,,,FINAL,7x1
10,2026-06-14,group,E,Costa do Marfim,1x0,Equador,,,,,,,,,FINAL,1x0
11,2026-06-14,group,F,Holanda,2x2,Japão,,,,,,,,,FINAL,2x2
12,2026-06-14,group,F,Suécia,5x1,Tunísia,,,,,,,,,FINAL,5x1
13,2026-06-15,group,G,Bélgica,1x1,Egito,,,,,,,,,FINAL,1x1
14,2026-06-15,group,G,Irã,2x2,Nova Zelândia,,,,,,,,,FINAL,2x2
15,2026-06-15,group,H,Arábia Saudita,1x1,Uruguai,,,,,,,,,FINAL,1x1
16,2026-06-15,group,H,Espanha,0x0,Cabo Verde,,,,,,,,,FINAL,0x0
17,2026-06-16,group,J,Argentina,3x0,Argélia,,,,,,,,,FINAL,3x0
18,2026-06-16,group,J,Áustria,3x1,Jordânia,,,,,,,,,FINAL,3x1
19,2026-06-16,group,I,França,3x1,Senegal,,,,,,,,,FINAL,3x1
20,2026-06-16,group,I,Iraque,1x4,Noruega,,,,,,,,,FINAL,1x4
21,2026-06-17,group,L,Inglaterra,4x2,Croácia,,,,,,,,,FINAL,4x2
22,2026-06-17,group,L,Gana,1x0,Panamá,,,,,,,,,FINAL,1x0
23,2026-06-17,group,K,Portugal,1x1,RD Congo,,,,,,,,,FINAL,1x1
24,2026-06-17,group,K,Uzbequistão,1x3,Colômbia,,,,,,,,,FINAL,1x3
25,2026-06-18,group,B,Canadá,6x0,Catar,,,,,,,,,FINAL,6x0
26,2026-06-18,group,A,República Tcheca,1x1,África do Sul,,,,,,,,,FINAL,1x1
27,2026-06-18,group,A,México,1x0,Coreia do Sul,,,,,,,,,FINAL,1x0
28,2026-06-18,group,B,Suíça,4x1,Bósnia e Herzegovina,,,,,,,,,FINAL,4x1
29,2026-06-19,group,C,Brasil,3x0,Haiti,,,,,,,,,FINAL,3x0
30,2026-06-19,group,C,Escócia,0x1,Marrocos,,,,,,,,,FINAL,0x1
31,2026-06-19,group,D,Turquia,0x1,Paraguai,,,,,,,,,FINAL,0x1
32,2026-06-19,group,D,Estados Unidos,2x0,Austrália,,,,,,,,,FINAL,2x0
33,2026-06-20,group,E,Equador,0x0,Curaçao,,,,,,,,,FINAL,0x0
34,2026-06-20,group,E,Alemanha,2x1,Costa do Marfim,,,,,,,,,FINAL,2x1
35,2026-06-20,group,F,Holanda,5x1,Suécia,,,,,,,,,FINAL,5x1
36,2026-06-20,group,F,Tunísia,0x4,Japão,,,,,,,,,FINAL,0x4
37,2026-06-21,group,G,Bélgica,0x0,Irã,,,,,,,,,FINAL,0x0
38,2026-06-21,group,G,Nova Zelândia,1x3,Egito,,,,,,,,,FINAL,1x3
39,2026-06-21,group,H,Espanha,4x0,Arábia Saudita,,,,,,,,,FINAL,4x0
40,2026-06-21,group,H,Uruguai,2x2,Cabo Verde,,,,,,,,,FINAL,2x2
41,2026-06-22,group,J,Argentina,2x0,Áustria,,,,,,,,,FINAL,2x0
42,2026-06-22,group,I,França,3x0,Iraque,,,,,,,,,FINAL,3x0
43,2026-06-22,group,J,Jordânia,1x2,Argélia,,,,,,,,,FINAL,1x2
44,2026-06-22,group,I,Noruega,3x2,Senegal,,,,,,,,,FINAL,3x2
45,2026-06-23,group,K,Colômbia,1x0,RD Congo,,,,,,,,,FINAL,1x0
46,2026-06-23,group,L,Inglaterra,0x0,Gana,,,,,,,,,FINAL,0x0
47,2026-06-23,group,L,Panamá,0x1,Croácia,,,,,,,,,FINAL,0x1
48,2026-06-23,group,K,Portugal,5x0,Uzbequistão,,,,,,,,,FINAL,5x0
49,2026-06-24,group,B,Bósnia e Herzegovina,3x1,Catar,,,,,,,,,FINAL,3x1
50,2026-06-24,group,B,Suíça,2x1,Canadá,,,,,,,,,FINAL,2x1
51,2026-06-24,group,A,República Tcheca,0x3,México,,,,,,,,,FINAL,0x3
52,2026-06-24,group,C,Marrocos,4x2,Haiti,,,,,,,,,FINAL,4x2
53,2026-06-24,group,C,Escócia,0x3,Brasil,,,,,,,,,FINAL,0x3
54,2026-06-24,group,A,África do Sul,1x0,Coreia do Sul,,,,,,,,,FINAL,1x0
55,2026-06-25,group,E,Curaçao,0x2,Costa do Marfim,6%,13%,81%,,0x2,,,,PREVISTO,
56,2026-06-25,group,E,Equador,0x1,Alemanha,16%,23%,61%,,0x1,,,,PREVISTO,
57,2026-06-25,group,F,Japão,3x1,Suécia,59%,23%,18%,,1x1,,,,PREVISTO,
58,2026-06-25,group,D,Paraguai,0x0,Austrália,31%,40%,29%,,0x0,,,,PREVISTO,
59,2026-06-25,group,F,Tunísia,0x3,Holanda,3%,7%,90%,,0x3,,,,PREVISTO,
60,2026-06-25,group,D,Turquia,0x2,Estados Unidos,19%,21%,60%,,1x1,,,,PREVISTO,
61,2026-06-26,group,H,Cabo Verde,1x0,Arábia Saudita,41%,31%,28%,,0x0,,,,PREVISTO,
62,2026-06-26,group,G,Egito,1x0,Irã,38%,36%,26%,,0x0,,,,PREVISTO,
63,2026-06-26,group,G,Nova Zelândia,0x2,Bélgica,7%,13%,80%,,0x2,,,,PREVISTO,
64,2026-06-26,group,I,Noruega,1x2,França,20%,22%,58%,,1x2,,,,PREVISTO,
65,2026-06-26,group,I,Senegal,2x0,Iraque,74%,17%,9%,,2x0,,,,PREVISTO,
66,2026-06-26,group,H,Uruguai,0x2,Espanha,12%,23%,65%,,0x1,,,,PREVISTO,
67,2026-06-27,group,J,Argélia,1x1,Áustria,26%,37%,37%,⚡,1x1,,,,PREVISTO,
68,2026-06-27,group,K,Colômbia,1x2,Portugal,26%,26%,48%,,1x1,,,,PREVISTO,
69,2026-06-27,group,L,Croácia,1x0,Gana,47%,32%,21%,,1x0,,,,PREVISTO,
70,2026-06-27,group,K,RD Congo,1x0,Uzbequistão,54%,26%,20%,,1x0,,,,PREVISTO,
71,2026-06-27,group,J,Jordânia,0x3,Argentina,3%,9%,88%,,0x3,,,,PREVISTO,
72,2026-06-27,group,L,Panamá,0x2,Inglaterra,6%,14%,80%,,0x2,,,,PREVISTO,
73,2026-06-28,R32,,África do Sul,0x1,Canadá,26%,,,,,Canadá,Canadá,Canadá,PREVISTO,
74,2026-06-29,R32,,Alemanha,3x0,Bósnia e Herzegovina,94%,,,,,Alemanha,Alemanha,Alemanha,PREVISTO,
75,2026-06-29,R32,,Holanda,2x1,Marrocos,61%,,,,,Holanda,Holanda,Holanda,PREVISTO,
76,2026-06-29,R32,,Brasil,1x0,Japão,64%,,,,,Brasil,Brasil,Brasil,PREVISTO,
77,2026-06-30,R32,,França,2x0,Paraguai,87%,,,,,França,França,França,PREVISTO,
78,2026-06-30,R32,,Costa do Marfim,1x2,Noruega,40%,,,,,Noruega,Noruega,Noruega,PREVISTO,
79,2026-06-30,R32,,México,2x0,Suécia,82%,,,,,México,México,México,PREVISTO,
80,2026-07-01,R32,,Inglaterra,1x0,RD Congo,79%,,,,,Inglaterra,Inglaterra,Inglaterra,PREVISTO,
81,2026-07-01,R32,,Estados Unidos,2x1,Senegal,71%,,,,,Estados Unidos,Estados Unidos,Estados Unidos,PREVISTO,
82,2026-07-01,R32,,Egito,1x0,Coreia do Sul,59%,,,,,Egito,Egito,Egito,PREVISTO,
83,2026-07-02,R32,,Portugal,1x0,Gana,82%,,,,,Portugal,Portugal,Portugal,PREVISTO,
84,2026-07-02,R32,,Espanha,2x0,Áustria,85%,,,,,Espanha,Espanha,Espanha,PREVISTO,
85,2026-07-02,R32,,Suíça,2x1,Argélia,68%,,,,,Suíça,Suíça,Suíça,PREVISTO,
86,2026-07-03,R32,,Argentina,1x0,Cabo Verde,95%,,,,,Argentina,Argentina,Argentina,PREVISTO,
87,2026-07-03,R32,,Colômbia,2x1,Croácia,74%,,,,,Colômbia,Colômbia,Colômbia,PREVISTO,
88,2026-07-03,R32,,Austrália,0x1,Bélgica,38%,,,,,Bélgica,Bélgica,Bélgica,PREVISTO,
89,2026-07-04,R16,,Canadá,1x2,Holanda,27%,,,,,Holanda,Holanda,Holanda,PREVISTO,
90,2026-07-04,R16,,Alemanha,1x2,França,44%,,,,,Vai aos pênaltis,França,França,PREVISTO,
91,2026-07-05,R16,,Brasil,2x1,Noruega,78%,,,,,Brasil,Brasil,Brasil,PREVISTO,
92,2026-07-05,R16,,México,0x1,Inglaterra,49%,,,,,Vai aos pênaltis,Inglaterra,Inglaterra,PREVISTO,
93,2026-07-06,R16,,Portugal,0x1,Espanha,37%,,,,,Espanha,Espanha,Espanha,PREVISTO,
94,2026-07-06,R16,,Estados Unidos,1x0,Egito,66%,,,,,Estados Unidos,Estados Unidos,Estados Unidos,PREVISTO,
