match_id,home,draw,away
22,3.72,2.11,3.31
24,9.6,4.8,1.41
25,1.3,5.85,12.5
26,1.88,3.6,4.7
27,2.12,3.35,3.98
28,1.58,4.25,6.5
29,1.11,11.5,26.0
30,5.95,3.72,1.7
31,2.1,3.48,3.86
32,1.64,4.5,5.25
33,1.1,10.01,23.34
34,1.54,4.76,5.59
35,1.76,4.01,4.54
36,6.88,4.2,1.53
37,1.43,4.77,7.67
38,5.45,4.24,1.62
39,1.09,10.44,24.76
40,1.44,4.35,8.59
41,1.62,3.88,6.12
42,1.08,11.31,28.26
43,5.9,4.23,1.58
44,2.35,3.56,3.05
45,1.52,4.25,6.92
46,1.23,6.56,13.51
47,6.65,4.0,1.57
48,1.2,7.24,15.81
49,1.43,4.98,6.98
50,2.48,3.01,3.28
51,3.42,3.79,2.07
52,1.25,5.5,10.11
53,5.82,4.98,1.42
54,5.68,4.02,1.62
55,17.72,8.57,1.12
56,4.82,3.73,1.68
57,2.12,3.42,3.31
58,2.12,3.33,3.38
59,9.08,5.32,1.29
60,2.66,3.66,2.4
61,2.71,3.68,2.35
62,2.03,3.13,3.91
63,11.41,6.15,1.21
64,4.14,3.76,1.78
65,1.27,5.22,10.02
66,5.84,4.16,1.51
67,3.05,2.99,2.48
68,3.37,3.37,2.11
69,1.59,3.81,5.52
70,2.1,3.64,3.16
71,13.1,7.08,1.16
72,8.42,6.78,1.23
